index,X,Y
1,2235.38,784.817
2,1952.32,660.221
3,1809.13,602.198
4,2370.99,848.423
5,2232.23,783.342
6,2323.2,691.642
7,2184.77,537.47
8,2273.08,721.87
9,1909.75,719.488
10,2092.99,628.232
11,2322.95,691.681
12,2049.98,1059.12
13,2142.76,691.195
14,1860.8,567.454
15,2141.77,598.817
16,1867,477.451
17,2413.54,600.566
18,2138.17,479.699
19,2051.78,598.293
20,1952.06,660.364
21,2461.72,756.962
22,1808.79,602.21
23,2281.05,756.246
24,1809.78,601.896
25,2281.97,664.308
26,1810.01,602.355
27,2552.73,665.836
28,2552.84,665.574
29,2194.29,665.685
30,1810.39,602.172
31,2364.02,630.707
32,2414.13,508.171
33,2505.76,601.753
34,2462.3,573.114
