index,crossPt.x,crossPt.y,ptU2.x,ptU2.y,thetaU,thetaD,image
0,2235.38,784.817,1249.49,762.253,1.31112,-88.6253,E:\数据集\对位数据集\对位2\1-2.jpeg
1,1952.32,660.221,995.827,672.41,-0.730097,89.3556,E:\数据集\对位数据集\对位2\2-2.jpeg
2,1809.13,602.198,861.652,631.403,-1.76552,88.3196,E:\数据集\对位数据集\对位2\3-2.jpeg
3,2370.99,848.423,1411.74,809.745,2.30902,-87.6424,E:\数据集\对位数据集\对位2\4-2.jpeg
4,2232.23,783.342,1266.58,761.584,1.29078,-88.6511,E:\数据集\对位数据集\对位2\5-2.jpeg
5,2323.2,691.642,1372.57,670.262,1.28839,-88.6591,E:\数据集\对位数据集\对位2\6-2.jpeg
6,2184.77,537.47,1229.51,532.848,0.277202,-89.645,E:\数据集\对位数据集\对位2\7-2.jpeg
7,2273.08,721.87,1328,716.874,0.302873,-89.6451,E:\数据集\对位数据集\对位2\8-2.jpeg
8,1909.75,719.488,951.505,714.994,0.268725,-89.6901,E:\数据集\对位数据集\对位2\9-2.jpeg
9,2092.99,628.232,1141.5,624.207,0.242386,-89.6503,E:\数据集\对位数据集\对位2\10-2.jpeg
10,2322.95,691.681,1373.57,670.321,1.28891,-88.6431,E:\数据集\对位数据集\对位2\11-2.jpeg
11,2049.98,1059.12,1093.58,1036.82,1.33566,-88.6588,E:\数据集\对位数据集\对位2\12-2.jpeg
12,2142.76,691.195,1192.57,669.996,1.27807,-88.6504,E:\数据集\对位数据集\对位2\13-2.jpeg
13,1860.8,567.454,881.827,580.592,-0.768888,89.3221,E:\数据集\对位数据集\对位2\14-2.jpeg
14,2141.77,598.817,1173.58,577.559,1.25779,-88.6722,E:\数据集\对位数据集\对位2\15-2.jpeg
15,1867,477.451,902.932,490.003,-0.745962,89.3702,E:\数据集\对位数据集\对位2\16-2.jpeg
16,2413.54,600.566,1461.57,579.062,1.29405,-88.6506,E:\数据集\对位数据集\对位2\17-2.jpeg
17,2138.17,479.699,1234.52,490.777,-0.702393,89.3812,E:\数据集\对位数据集\对位2\18-2.jpeg
18,2051.78,598.293,1096.58,577.443,1.25047,-88.6743,E:\数据集\对位数据集\对位2\19-2.jpeg
19,1952.06,660.364,991.889,672.82,-0.74325,89.3433,E:\数据集\对位数据集\对位2\20-2.jpeg
20,2461.72,756.962,1468.97,717.05,2.3022,-87.6406,E:\数据集\对位数据集\对位2\21-2.jpeg
21,1808.79,602.21,854.637,631.594,-1.76394,88.317,E:\数据集\对位数据集\对位2\22-2.jpeg
22,2281.05,756.246,1327.74,717.926,2.30189,-87.6451,E:\数据集\对位数据集\对位2\23-2.jpeg
23,1809.78,601.896,856.652,631.271,-1.76523,88.333,E:\数据集\对位数据集\对位2\24-2.jpeg
24,2281.97,664.308,1330.74,626.315,2.28722,-87.6467,E:\数据集\对位数据集\对位2\25-2.jpeg
25,1810.01,602.355,855.637,631.666,-1.75913,88.3301,E:\数据集\对位数据集\对位2\26-2.jpeg
26,2552.73,665.836,1589.74,627.004,2.30919,-87.6293,E:\数据集\对位数据集\对位2\27-2.jpeg
27,2552.84,665.574,1591.16,626.816,2.30793,-87.6308,E:\数据集\对位数据集\对位2\28-2.jpeg
28,2194.29,665.685,1241.74,627.322,2.30631,-87.6289,E:\数据集\对位数据集\对位2\29-2.jpeg
29,1810.39,602.172,857.652,631.385,-1.75624,88.3409,E:\数据集\对位数据集\对位2\30-2.jpeg
30,2364.02,630.707,1435.51,625.802,0.30269,-89.6621,E:\数据集\对位数据集\对位2\31-2.jpeg
31,2414.13,508.171,1463.57,486.993,1.27626,-88.6452,E:\数据集\对位数据集\对位2\32-2.jpeg
32,2505.76,601.753,1554.58,580.084,1.30501,-88.6441,E:\数据集\对位数据集\对位2\33-2.jpeg
33,2462.3,573.114,1503.74,534.721,2.29362,-87.6417,E:\数据集\对位数据集\对位2\34-2.jpeg
