index,X,Y,Theta,基准图像,待测图像
0,0,0,0,第1张图,第1张图
1,-0.00161648,0.000541687,2.01984,第1张图,第2张图
2,0.00473905,0.00177765,3.02357,第1张图,第3张图
3,-0.00248528,-0.00408173,-0.978015,第1张图,第4张图
4,0.00221753,-0.00127411,0.0211418,第1张图,第5张图
5,-1.00018,-1.00323,0.021796,第1张图,第6张图
6,-0.992946,-1.99908,1.01563,第1张图,第7张图
7,-1.99177,0.00273132,1.02084,第1张图,第8张图
8,2.02251,0.000579834,1.02135,第1张图,第9张图
9,0.000596166,-1.00057,1.02502,第1张图,第10张图
10,-0.993745,-1.00356,0.0207088,第1张图,第11张图
11,2.01531,2.99833,0.0076052,第1张图,第12张图
12,1.00102,-0.998466,0.0189199,第1张图,第13张图
13,1.01648,-1.00226,2.01914,第1张图,第14张图
14,1.01162,-1.99959,0.0229295,第1张图,第15张图
15,0.999367,-2.00033,1.98849,第1张图,第16张图
16,-1.98672,-2.00071,0.0191343,第1张图,第17张图
17,-1.98144,-1.9978,1.98133,第1张图,第18张图
18,2.00698,-1.99995,0.0222313,第1张图,第19张图
19,0.00278449,0.00113678,2.01834,第1张图,第20张图
20,-0.998742,-1.00407,-0.978258,第1张图,第21张图
21,0.00917506,0.00252533,3.02442,第1张图,第22张图
22,1.00769,-1.00385,-0.983292,第1张图,第23张图
23,0.00274706,-0.00279236,3.02139,第1张图,第24张图
24,1.00869,-2.00539,-0.986575,第1张图,第25张图
25,0.00533652,-0.000328064,3.01734,第1张图,第26张图
26,-1.99603,-2.00113,-0.979455,第1张图,第27张图
27,-2.00452,-2.00025,-0.974198,第1张图,第28张图
28,2.0136,-2.00134,-1.00971,第1张图,第29张图
29,0.00726938,-0.0035553,3.01518,第1张图,第30张图
30,-2.98449,-0.998367,1.01409,第1张图,第31张图
31,-1.99838,-3.00011,0.0260415,第1张图,第32张图
32,-2.9932,-2.0012,0.00823465,第1张图,第33张图
33,-0.9918,-3.00159,-0.977476,第1张图,第34张图
