index,双相机X,双相机Y,左相机X,左相机Y,右相机X,右相机Y,基准图像,待测图像
0,0,0,0,0,0,0,第1张图,第1张图
1,-0.00161648,0.000541687,0.144753,0.23243,0.122566,-0.32785,第1张图,第2张图
2,0.00473905,0.00177765,-0.337852,-0.126427,-0.276009,0.0405121,第1张图,第3张图
3,-0.00248528,-0.00408173,0.475878,0.448174,0.490864,-0.311264,第1张图,第4张图
4,0.00221753,-0.00127411,0.0291214,0.0108337,0.0308456,-0.0137482,第1张图,第5张图
5,-0.000176668,-0.00322723,-0.00420761,-0.00156403,0.03442,-0.0153427,第1张图,第6张图
6,0.00705421,0.000915527,-0.471478,-0.416962,-0.424232,0.313782,第1张图,第7张图
7,0.00823379,0.00273132,-0.422024,-0.397606,-0.463509,0.330475,第1张图,第8张图
8,0.0225074,0.000579834,-0.379917,-0.381096,-0.41124,0.30825,第1张图,第9张图
9,0.000596166,-0.000572205,-0.42474,-0.398674,-0.370945,0.291153,第1张图,第10张图
10,0.00625515,-0.00356293,-0.00674438,-0.00251007,0.0336761,-0.0150146,第1张图,第11张图
11,0.0153098,-0.00167084,0.0921288,0.0342941,-0.0373039,0.0166473,第1张图,第12张图
12,0.00101972,0.00153351,0.0268745,0.00999451,0.0501404,-0.0223465,第1张图,第13张图
13,0.0164773,-0.0022583,0.117531,0.221207,0.182358,-0.352028,第1张图,第14张图
14,0.0116203,0.000411987,0.00965881,0.00359344,0.0809822,-0.0360794,第1张图,第15张图
15,-0.000632763,-0.000328064,0.0637398,0.199074,0.147038,-0.337761,第1张图,第16张图
16,0.0132797,-0.000709534,-0.0255013,-0.00946808,0.0258713,-0.0115356,第1张图,第17张图
17,0.0185556,0.00219727,0.0236092,0.182579,0.0798798,-0.31057,第1张图,第18张图
18,0.00697803,4.57764e-05,0.0171967,0.00639343,0.0920563,-0.041008,第1张图,第19张图
19,0.00278449,0.00113678,0.119854,0.222168,0.142857,-0.336067,第1张图,第20张图
20,0.0012579,-0.00406647,0.438147,0.434891,-0.498837,-0.316063,第1张图,第21张图
21,0.00917506,0.00252533,-0.339882,-0.127304,-0.278454,0.0414505,第1张图,第22张图
22,0.00769234,-0.00385284,0.460329,0.442703,-0.498405,-0.316269,第1张图,第23张图
23,0.00274706,-0.00279236,-0.341454,-0.127983,-0.276455,0.0406876,第1张图,第24张图
24,0.00869179,-0.00539398,0.417305,0.427551,-0.476303,-0.326576,第1张图,第25张图
25,0.00533652,-0.000328064,-0.350697,-0.131981,-0.285873,0.0443039,第1张图,第26张图
26,0.0039711,-0.00112915,0.410341,0.425102,0.490631,-0.31115,第1张图,第27张图
27,-0.00452423,-0.00025177,0.422771,0.429482,0.492538,-0.312042,第1张图,第28张图
28,0.0136042,-0.00134277,0.402929,0.422493,0.494923,-0.313156,第1张图,第29张图
29,0.00726938,-0.0035553,-0.34874,-0.131134,-0.290432,0.046051,第1张图,第30张图
30,0.015511,0.00163269,-0.47258,-0.417397,-0.463169,0.330338,第1张图,第31张图
31,0.00161839,-0.000114441,-0.0446243,-0.0165787,0.0529366,-0.0235977,第1张图,第32张图
32,0.00680494,-0.00119781,-0.0572014,-0.0212402,0.00925827,-0.0041275,第1张图,第33张图
33,0.00819969,-0.00159454,0.394041,0.419373,-0.48595,-0.322075,第1张图,第34张图
