index,X,Y
1,3.61113,4.53883
2,0.471031,3.30798
3,-1.07639,2.65445
4,5.15154,5.09858
5,3.57582,4.5278
6,4.58037,5.52932
7,3.01804,5.93314
8,4.00794,3.92814
9,-0.0049057,3.92999
10,2.00909,4.92889
11,4.5737,5.53033
12,1.58401,1.53608
13,2.58195,5.52627
14,-0.543331,4.31128
15,2.56685,6.52502
16,-0.474907,5.32891
17,5.57041,6.52837
18,2.51064,5.33081
19,1.57339,6.52578
20,0.46983,3.30835
21,6.14914,6.09868
22,-1.08413,2.65306
23,4.14959,6.10128
24,-1.07281,2.6604
25,4.1552,7.1046
26,-1.06794,2.66066
27,7.1488,7.09638
28,7.1482,7.09261
29,3.18656,7.11337
30,-1.06926,2.66523
31,5.01645,4.93336
32,5.5734,7.52372
33,6.59758,6.53514
34,6.14165,8.09574
