index,X,Y
1,1954.26,622.504
2,1669.64,733.669
3,1529.35,792.774
4,2093.84,572.027
5,1951.06,623.496
6,2042.64,531.996
7,1901.9,493.774
8,1989.56,678.979
9,1627.2,676.099
10,1809.93,585.523
11,2042.03,531.899
12,1768.62,897.504
13,1862.17,530.928
14,1578.91,640.643
15,1861.67,438.993
16,1585.97,547.027
17,2132.9,440.714
18,1855.57,548.869
19,1771.96,438.253
20,1669.54,733.634
21,2184.79,480.653
22,1528.65,792.897
23,2004.23,479.063
24,1529.68,792.229
25,2005.6,386.723
26,1530.12,792.208
27,2275.92,389.501
28,2275.86,389.848
29,1918.14,385.261
30,1530,791.786
31,2081.5,587.142
32,2134.03,349.106
33,2225.66,440.784
34,2185.83,296.841
