index,crossPt.x,crossPt.y,ptU2.x,ptU2.y,thetaU,thetaD,image
0,1954.26,622.504,3707.49,673.208,1.65655,-88.4446,E:\数据集\对位数据集\对位2\1-1.bmp
1,1669.64,733.669,3460.51,720.989,-0.405666,89.5322,E:\数据集\对位数据集\对位2\2-1.bmp
2,1529.35,792.774,3313.6,748.817,-1.41127,88.5115,E:\数据集\对位数据集\对位2\3-1.bmp
3,2093.84,572.027,3814.84,651.568,2.64623,-87.4588,E:\数据集\对位数据集\对位2\4-1.bmp
4,1951.06,623.496,3725.62,674.228,1.63756,-88.4703,E:\数据集\对位数据集\对位2\5-1.bmp
5,2042.64,531.996,3824.64,583.617,1.65928,-88.457,E:\数据集\对位数据集\对位2\6-1.bmp
6,1901.9,493.774,3705.52,514.48,0.657729,-89.4765,E:\数据集\对位数据集\对位2\7-1.bmp
7,1989.56,678.979,3736.7,698.047,0.625295,-89.4794,E:\数据集\对位数据集\对位2\8-1.bmp
8,1627.2,676.099,3367.48,694.253,0.597678,-89.5033,E:\数据集\对位数据集\对位2\9-1.bmp
9,1809.93,585.523,3583.52,604.934,0.627075,-89.4895,E:\数据集\对位数据集\对位2\10-1.bmp
10,2042.03,531.899,3826.64,583.647,1.66094,-88.4596,E:\数据集\对位数据集\对位2\11-1.bmp
11,1768.62,897.504,3554.61,947.282,1.59652,-88.466,E:\数据集\对位数据集\对位2\12-1.bmp
12,1862.17,530.928,3624.62,581.359,1.63903,-88.4616,E:\数据集\对位数据集\对位2\13-1.bmp
13,1578.91,640.643,3364.51,628.561,-0.387674,89.5143,E:\数据集\对位数据集\对位2\14-1.bmp
14,1861.67,438.993,3644.64,490.361,1.65026,-88.4718,E:\数据集\对位数据集\对位2\15-1.bmp
15,1585.97,547.027,3371.51,536.053,-0.352157,89.5876,E:\数据集\对位数据集\对位2\16-1.bmp
16,2132.9,440.714,3837.61,490.509,1.67315,-88.4554,E:\数据集\对位数据集\对位2\17-1.bmp
17,1855.57,548.869,3641.51,538.717,-0.325692,89.5589,E:\数据集\对位数据集\对位2\18-1.bmp
18,1771.96,438.253,3560.64,489.632,1.64535,-88.468,E:\数据集\对位数据集\对位2\19-1.bmp
19,1669.54,733.634,3430.42,721.672,-0.389227,89.5241,E:\数据集\对位数据集\对位2\20-1.bmp
20,2184.79,480.653,3837.77,557.756,2.67065,-87.4551,E:\数据集\对位数据集\对位2\21-1.bmp
21,1528.65,792.897,3320.6,748.793,-1.40991,88.4941,E:\数据集\对位数据集\对位2\22-1.bmp
22,2004.23,479.063,3753.01,560.197,2.65631,-87.4609,E:\数据集\对位数据集\对位2\23-1.bmp
23,1529.68,792.229,3315.6,748.306,-1.40887,88.5123,E:\数据集\对位数据集\对位2\24-1.bmp
24,2005.6,386.723,3780.83,469.948,2.68414,-87.4543,E:\数据集\对位数据集\对位2\25-1.bmp
25,1530.12,792.208,3316.58,748.463,-1.40271,88.517,E:\数据集\对位数据集\对位2\26-1.bmp
26,2275.92,389.501,3837.7,462.843,2.68867,-87.4405,E:\数据集\对位数据集\对位2\27-1.bmp
27,2275.86,389.848,3837.72,462.973,2.6806,-87.4533,E:\数据集\对位数据集\对位2\28-1.bmp
28,1918.14,385.261,3689.83,468.609,2.69346,-87.4367,E:\数据集\对位数据集\对位2\29-1.bmp
29,1530,791.786,3315.6,748.023,-1.40399,88.5042,E:\数据集\对位数据集\对位2\30-1.bmp
30,2081.5,587.142,3838.52,607.335,0.658456,-89.4571,E:\数据集\对位数据集\对位2\31-1.bmp
31,2134.03,349.106,3838.61,399.268,1.6856,-88.4466,E:\数据集\对位数据集\对位2\32-1.bmp
32,2225.66,440.784,3837.6,488.451,1.6938,-88.426,E:\数据集\对位数据集\对位2\33-1.bmp
33,2185.83,296.841,3837.76,374.722,2.69922,-87.4545,E:\数据集\对位数据集\对位2\34-1.bmp
