index,,图像1,图像2,世界坐标差值X,世界坐标差值Y,像素坐标差X,像素坐标差Y,△thetaD
0,左相机,第21张图,第1张图,-1.00474,-1.0049,91.595,-91.8111,-0.00126648,
0,右相机,第21张图,第1张图,-1.00267,-1.00301,91.3726,-91.7489,0.00660706,
两角点坐标平移差值（左-右）,,,,-0.00206757,-0.00189018,0.222412,-0.0621948

1,左相机,第24张图,第1张图,0.00428009,-1.99946,1.33728,-184.03,0.0096817,
1,右相机,第24张图,第1张图,0.00511932,-2.0046,0.915771,-184.444,0.00983429,
两角点坐标平移差值（左-右）,,,,-0.000839233,0.00514078,0.421509,0.414185

2,左相机,第26张图,第1张图,-1.99379,-2.00096,181.766,-182.818,-0.00559235,
2,右相机,第26张图,第1张图,-1.9924,-1.99722,181.569,-182.694,-0.00737762,
两角点坐标平移差值（左-右）,,,,-0.00139427,-0.00374031,0.19751,-0.12439

3,左相机,第28张图,第1张图,2.0018,-1.99936,-179.041,-185.37,0.0219879,
3,右相机,第28张图,第1张图,2.00245,-1.9979,-179.73,-184.898,0.0194244,
两角点坐标平移差值（左-右）,,,,-0.000646591,-0.00146627,0.688843,-0.471985

4,左相机,第14张图,第2张图,1.01207,-0.991852,-90.5359,-91.9717,0.0118637,
4,右相机,第14张图,第2张图,1.01143,-0.997935,-90.7887,-92.3611,0.00606537,
两角点坐标平移差值（左-右）,,,,0.000638008,0.00608349,0.252808,0.389404

5,左相机,第16张图,第2张图,0.00767136,0.00499725,-0.697021,0.454712,0.0100708,
5,右相机,第16张图,第2张图,0.010479,0.00341797,-0.950073,0.308838,0.030426,
两角点坐标平移差值（左-右）,,,,-0.00280762,0.00157928,0.253052,0.145874

6,左相机,第18张图,第2张图,0.0141211,0.00761223,-1.28174,0.69104,0.009552,
6,右相机,第18张图,第2张图,0.013546,-0.000230789,-1.22485,-0.0285645,0.0132141,
两角点坐标平移差值（左-右）,,,,0.000575066,0.00784302,-0.0568848,0.719604

7,左相机,第20张图,第2张图,2.01822,-1.99649,-180.526,-185.116,0.0148468,
7,右相机,第20张图,第2张图,2.02423,-1.99819,-181.699,-184.936,0.0323563,
两角点坐标平移差值（左-右）,,,,-0.0060091,0.00169945,1.17322,-0.180176

8,左相机,第32张图,第2张图,0.0164928,0.00274944,-1.4917,0.241821,0.0234909,
8,右相机,第32张图,第2张图,0.0203381,-0.000825882,-1.83887,-0.0869141,0.049942,
两角点坐标平移差值（左-右）,,,,-0.00384521,0.00357533,0.347168,0.328735

9,左相机,第22张图,第3张图,0.0146408,0.00266266,-1.32434,0.235107,0.0253983,
9,右相机,第22张图,第3张图,0.0118637,-0.00532722,-1.06946,-0.49646,0.0199356,
两角点坐标平移差值（左-右）,,,,0.0027771,0.00798988,-0.254883,0.731567

10,左相机,第23张图,第3张图,1.01867,-0.999208,-91.1259,-92.6533,0.0221863,
10,右相机,第23张图,第3张图,1.02113,-1.00395,-91.6619,-92.9202,0.0340118,
两角点坐标平移差值（左-右）,,,,-0.00245667,0.00474644,0.536011,0.266846

11,左相机,第25张图,第3张图,0.0142965,0.00469303,-1.29504,0.422241,0.0212631,
11,右相机,第25张图,第3张图,0.0130615,-0.00236797,-1.17957,-0.224854,0.0224838,
两角点坐标平移差值（左-右）,,,,0.00123501,0.007061,-0.115479,0.647095

12,左相机,第27张图,第3张图,0.0172987,0.00387859,-1.56543,0.345337,0.0112228,
12,右相机,第27张图,第3张图,0.0190525,-0.0114088,-1.71533,-1.05988,0.0256882,
两角点坐标平移差值（左-右）,,,,-0.00175381,0.0152874,0.149902,1.40521

13,左相机,第29张图,第3张图,2.01593,-2.00164,-180.314,-185.589,0.0161972,
13,右相机,第29张图,第3张图,2.01794,-2.00044,-181.129,-185.14,0.0149994,
两角点坐标平移差值（左-右）,,,,-0.00201893,-0.00120831,0.814941,-0.449646

14,左相机,第5张图,第4张图,2.01184,0.999546,-182.532,90.6379,0.0197296,
14,右相机,第5张图,第4张图,2.00879,0.994592,-182.362,90.4346,0.0101318,
