index,X,Y
1,1.86909,-0.927346
2,-2.57709,0.93458
3,-4.08452,1.49987
4,-0.0831718,1.33738
5,-2.09196,0.342784
6,-2.09185,2.33968
7,0.902327,0.342711
8,-3.10162,0.343453
9,-1.08116,0.328458
10,-0.0943718,0.335298
11,0.390989,-0.278675
12,-1.10367,0.337302
13,-0.611452,-0.276631
14,-3.58852,1.93252
15,-0.617514,1.72218
16,-2.58757,0.931162
17,2.38447,1.71987
18,-2.59063,0.934811
19,-1.61706,1.71676
20,-4.60132,2.93277
21,2.87176,0.0756683
22,-4.09638,1.5052
23,-5.10565,2.50383
24,1.86397,1.07725
25,-4.09758,1.50224
26,3.86148,1.06987
27,-4.10357,1.51128
28,-0.133362,1.07055
29,-6.10246,3.50031
30,-4.09621,0.336997
31,2.3858,2.71905
32,-2.59743,0.935406
33,-3.61956,3.04597
