index,X,Y
1,2076.62,1179.2
2,1675.78,1005.5
3,1539.84,952.68
4,1901.61,969.776
5,1719.25,1060.21
6,1720.64,876.478
7,1990.06,1061.82
8,1627.94,1059.61
9,1810.66,1062.07
10,1899.91,1061.97
11,1943.39,1118.72
12,1808.63,1061.24
13,1852.73,1118
14,1585,913.139
15,1853.55,934.084
16,1674.83,1005.81
17,2125.05,935.905
18,1674.56,1005.47
19,1763.15,934.047
20,1494.08,820.564
21,2167.99,1087.45
22,1538.77,952.184
23,1448.18,859.76
24,2077.54,994.753
25,1538.66,952.455
26,2258.19,996.503
27,1538.12,951.62
28,1896.89,994.299
29,1358.71,767.541
30,1537.98,1059.67
31,2125.86,843.973
32,1673.95,1005.41
33,1582.95,810.674
