index,X,Y
1,1.90837,1.40435
2,-2.56586,-0.540131
3,-4.03535,-1.24352
4,-0.087389,1.13274
5,-2.09923,0.133189
6,-2.10186,2.13267
7,0.909416,0.132196
8,-3.10371,0.13375
9,-1.09255,0.133244
10,-0.0955582,0.130652
11,0.397352,0.778177
12,-1.09998,0.129908
13,-0.60519,0.782402
14,-3.57793,0.451721
15,-0.608664,2.77836
16,-2.57353,-0.545128
17,2.39648,2.78087
18,-2.57998,-0.547743
19,-1.60838,2.77961
20,-4.58408,1.45636
21,2.91311,2.40925
22,-4.04999,-1.24619
23,-5.05402,-0.244315
24,1.90409,3.40381
25,-4.04964,-1.24822
26,3.90217,3.40531
27,-4.05264,-1.2474
28,-0.0934277,3.40371
29,-6.05127,0.758121
30,-4.09983,0.136931
31,2.39284,3.77639
32,-2.58235,-0.54288
33,-3.50989,-0.973384
