index,X,Y
1,1797.8,909.847
2,1392.09,1085.79
3,1258.79,1149.54
4,1617.34,933.498
5,1434.81,1024.14
6,1436.3,840.106
7,1706.49,1026.26
8,1344.11,1023.41
9,1525.71,1024.81
10,1615.74,1025.72
11,1660.81,966.458
12,1525.04,1025.11
13,1570.28,965.392
14,1301.56,993.82
15,1571.69,781.685
16,1391.4,1086.25
17,1843.06,783.483
18,1390.81,1086.48
19,1481.42,780.895
20,1211.57,900.676
21,1889.39,818.036
22,1257.47,1149.77
23,1167.66,1056.89
24,1799.13,725.817
25,1257.5,1149.96
26,1979.56,727.028
27,1257.23,1149.88
28,1618.76,724.477
29,1078.48,963.95
30,1254.16,1022.44
31,1843.59,691.855
32,1390.6,1086.03
33,1306.47,1125.03
