index,crossPt.x,crossPt.y,ptU2.x,ptU2.y,thetaU,thetaD,image
0,1797.8,909.847,3590.81,991.762,2.61579,-87.4377,E:\数据集\对位数据集\对位实验\1-1.bmp
1,1392.09,1085.79,3152,1073.05,-0.414921,89.5211,E:\数据集\对位数据集\对位实验\2-1.bmp
2,1258.79,1149.54,3048.6,1105.24,-1.41773,88.5057,E:\数据集\对位数据集\对位实验\3-1.bmp
3,1617.34,933.498,3394.52,952.577,0.615067,-89.4534,E:\数据集\对位数据集\对位实验\4-1.bmp
4,1434.81,1024.14,3203.52,1042.36,0.590294,-89.4731,E:\数据集\对位数据集\对位实验\5-1.bmp
5,1436.3,840.106,3227.52,859.223,0.611493,-89.4768,E:\数据集\对位数据集\对位实验\6-1.bmp
6,1706.49,1026.26,3497.52,1045.29,0.60875,-89.4362,E:\数据集\对位数据集\对位实验\7-1.bmp
7,1344.11,1023.41,3134.52,1041.74,0.586802,-89.4857,E:\数据集\对位数据集\对位实验\8-1.bmp
8,1525.71,1024.81,3316.52,1043.47,0.596855,-89.4771,E:\数据集\对位数据集\对位实验\9-1.bmp
9,1615.74,1025.72,3412.52,1044.47,0.597789,-89.4797,E:\数据集\对位数据集\对位实验\10-1.bmp
10,1660.81,966.458,3448.61,1016.35,1.59861,-88.4588,E:\数据集\对位数据集\对位实验\11-1.bmp
11,1525.04,1025.11,3318.52,1043.67,0.592885,-89.4819,E:\数据集\对位数据集\对位实验\12-1.bmp
12,1570.28,965.392,3344.62,1014.92,1.59899,-88.4744,E:\数据集\对位数据集\对位实验\13-1.bmp
13,1301.56,993.82,3083.51,980.746,-0.420377,89.5092,E:\数据集\对位数据集\对位实验\14-1.bmp
14,1571.69,781.685,3372.87,832.398,1.61275,-88.463,E:\数据集\对位数据集\对位实验\15-1.bmp
15,1391.4,1086.25,3140.05,1073.69,-0.411391,89.511,E:\数据集\对位数据集\对位实验\16-1.bmp
16,1843.06,783.483,3633.64,834.495,1.63184,-88.428,E:\数据集\对位数据集\对位实验\17-1.bmp
17,1390.81,1086.48,3169.51,1073.58,-0.415777,89.5115,E:\数据集\对位数据集\对位实验\18-1.bmp
18,1481.42,780.895,3253.62,830.854,1.61475,-88.4677,E:\数据集\对位数据集\对位实验\19-1.bmp
19,1211.57,900.676,2997.51,887.959,-0.407966,89.5062,E:\数据集\对位数据集\对位实验\20-1.bmp
20,1889.39,818.036,3681.83,900.561,2.63609,-87.4364,E:\数据集\对位数据集\对位实验\21-1.bmp
21,1257.47,1149.77,3049.6,1105.5,-1.41516,88.4803,E:\数据集\对位数据集\对位实验\22-1.bmp
22,1167.66,1056.89,2959.58,1012.6,-1.41561,88.4835,E:\数据集\对位数据集\对位实验\23-1.bmp
23,1799.13,725.817,3578.83,807.608,2.63133,-87.4473,E:\数据集\对位数据集\对位实验\24-1.bmp
24,1257.5,1149.96,3051.58,1105.61,-1.41594,88.4844,E:\数据集\对位数据集\对位实验\25-1.bmp
25,1979.56,727.028,3760.83,809.555,2.65263,-87.4321,E:\数据集\对位数据集\对位实验\26-1.bmp
26,1257.23,1149.88,3047.6,1105.25,-1.42823,88.4944,E:\数据集\对位数据集\对位实验\27-1.bmp
27,1618.76,724.477,3407.83,806.524,2.62574,-87.4597,E:\数据集\对位数据集\对位实验\28-1.bmp
28,1078.48,963.95,2850.52,920.344,-1.40961,88.4895,E:\数据集\对位数据集\对位实验\29-1.bmp
29,1254.16,1022.44,3045.52,1041.12,0.597496,-89.4933,E:\数据集\对位数据集\对位实验\30-1.bmp
30,1843.59,691.855,3623.12,743.09,1.64917,-88.4532,E:\数据集\对位数据集\对位实验\31-1.bmp
31,1390.6,1086.03,3153.66,1073.48,-0.407992,89.4976,E:\数据集\对位数据集\对位实验\32-1.bmp
32,1306.47,1125.03,3086.77,1049.88,-2.41712,87.4998,E:\数据集\对位数据集\对位实验\33-1.bmp
